threshold,rederived,committed,ratio
min_rms,1.4233084826660847e-07,1.4233084826660847e-07,1.0
flatline_std,1.4233084826660847e-07,1.4233084826660847e-07,1.0
max_rms,0.00029521482339798247,0.00029521482339798247,1.0
max_offset,5.735175351859339e-06,5.735175351859339e-06,1.0
saturation_limit,0.0013077530844507559,0.0013077530844507559,1.0
