subject,session,is_train,n_windows,anom_flag_ch0,anom_flag_ch1,balanced_accuracy,rest_recall,move_recall,ece,mean_conf,disagreement,move_pred_share,is_highlighted
s02,d01_t01,True,3000,0.024,0.03,0.9586640211640212,0.9654761904761905,0.9518518518518518,0.01245991994671641,0.9432067467199501,0.03133333333333333,0.695,False
s02,d01_t02,False,3000,0.030666666666666665,0.07333333333333333,0.9330937730515825,0.9495586380832283,0.9166289080199366,0.025871269701866307,0.9512046030351997,0.04133333333333333,0.6876666666666666,False
s02,d02_t01,False,3000,0.012666666666666666,0.064,0.922938823743296,0.9736842105263158,0.8721934369602763,0.02955321977020621,0.9243361613850459,0.05366666666666667,0.6793333333333333,False
s02,d02_t02,False,1959,0.01225114854517611,0.12200102092904543,0.6386757601591362,0.6956521739130435,0.5816993464052288,0.18964125541271515,0.7873952115127663,0.22460438999489535,0.5426237876467586,True
s02,d03_t01,False,3000,0.017666666666666667,0.041,0.944407028256705,0.9899425287356322,0.8988715277777778,0.01210322486075658,0.9270517190018142,0.051,0.6926666666666667,False
s02,d03_t02,False,3000,0.011666666666666667,0.07433333333333333,0.9325608229047122,0.9928366762177651,0.8722849695916595,0.028275582238337035,0.9272091688925793,0.055,0.671,False
s02,d04_t01,False,3000,0.03233333333333333,0.059,0.9294202529496647,0.9484126984126984,0.910427807486631,0.028427491302795437,0.9484274913027955,0.049666666666666665,0.694,False
s02,d04_t02,False,3000,0.016,0.08566666666666667,0.951915395694904,0.9972640218878249,0.9065667695019832,0.01378324227998379,0.9419689996540743,0.052,0.6863333333333334,False
s02,d05_t01,False,3000,0.023333333333333334,0.136,0.924565470082506,0.9758179231863442,0.8733130169786678,0.03296835307234649,0.9293833803789009,0.06766666666666667,0.6743333333333333,False
s02,d05_t02,False,3000,0.017666666666666667,0.08666666666666667,0.9422699085248514,0.9935979513444302,0.8909418657052727,0.02359019883703016,0.9412568655036969,0.06133333333333333,0.6606666666666666,False
