subject,task,model,within_bal,cross_bal,within_ece,cross_ece,within_unsafe,cross_unsafe,within_avail,cross_avail,d_bal,d_ece,ece_ratio
s01,binary,lda,0.9186165495338461,0.8899045196327522,0.01346197783379265,0.01258050538814786,0.030601384031571855,0.03743659634794685,0.9613559828959058,0.9330631513633715,0.028712029901093894,-0.0008814724456447896,0.9345213269158643
s01,binary,logreg,0.9680282838857309,0.9426549484385551,0.012524882433846743,0.014551514178866779,0.00985509621859534,0.015758104668152827,0.9759989081754501,0.9505585155208472,0.025373335447175793,0.002026631745020036,1.161808444568178
s01,multi,lda,0.44596681385524295,0.3585808854332446,0.04621009081724925,0.0876636109463129,0.008490311118899693,0.002666998060074475,0.45761590057159196,0.3155295844857486,0.08738592842199833,0.041453520129063656,1.8970664068374852
s01,multi,logreg,0.4540935355410764,0.375541936307486,0.03066579381278442,0.0610649149649537,0.0025111925879034566,0.0015228000126661994,0.33048627500882344,0.2914283851265349,0.0785515992335904,0.03039912115216928,1.9913039048575365
s02,binary,lda,0.9160559951065068,0.9026751572478072,0.018176852150658566,0.04165539292842895,0.0223179903382506,0.009662345508364768,0.9478583551679394,0.8589500354603259,0.01338083785869959,0.023478540777770385,2.2916725395117292
s02,binary,logreg,0.9296894909519638,0.9157836684015022,0.010850185753186862,0.04055338107654494,0.020851337838020418,0.01597702697293634,0.9682157530625071,0.9125224372214655,0.013905822550461688,0.02970319532335808,3.7375748212083657
s02,multi,lda,0.48956929292856194,0.3590258482941833,0.08323960432489526,0.23985467222810694,0.017513177866674504,0.00408689169566186,0.665970966737961,0.6240562390125742,0.1305434446343786,0.15661506790321167,2.88149702504498
s02,multi,logreg,0.500446837609744,0.37575115005170434,0.02967409376947507,0.15726941850133858,0.013840608751081354,0.006438084454133599,0.5080123499672375,0.5493870395146221,0.12469568755803961,0.1275953247318635,5.29988951720296
s03,binary,lda,0.847782959669955,0.8514524677514945,0.031896240019223046,0.02838323737178364,0.06480241135938386,0.04859490163514912,0.9295474206556115,0.880957939566273,-0.003669508081539541,-0.0035130026474394054,0.889861543388117
s03,binary,logreg,0.8717328619932022,0.8760326442952316,0.029815929251507296,0.057666163941683,0.05159185095853456,0.03815092644989699,0.9297392134095726,0.8919292533307098,-0.004299782302029431,0.027850234690175706,1.9340723361411847
s03,multi,lda,0.40960551583376964,0.2366543327648239,0.07288045142236235,0.1625718481330799,0.010031457197844233,0.028417626181068103,0.32046911469895406,0.2778643991243277,0.17295118306894575,0.08969139671071755,2.230664670158684
s03,multi,logreg,0.4117545964726201,0.2523777247930355,0.053562236432615665,0.12596961465614143,0.006303133680625883,0.013498711379750634,0.24220157096151498,0.28372294164354095,0.1593768716795846,0.07240737822352576,2.3518363504970217
s04,binary,lda,0.8692296895804923,0.7354560242627396,0.0214497590584417,0.058144235668960875,0.0508244120080091,0.10080583828348862,0.9258648755003603,0.8299118077777331,0.1337736653177527,0.036694476610519174,2.710717426267677
s04,binary,logreg,0.8933476820039254,0.7749099063314806,0.030518249338059068,0.0677160396799773,0.03958194095780888,0.08416559856214781,0.9319444716045142,0.8523478316841255,0.11843777567244484,0.03719779034191824,2.2188703857114493
s04,multi,lda,0.38369349514959145,0.22502898560827717,0.08099498901637942,0.19894536675630267,0.016152291350300618,0.03884174459962056,0.35964554911725855,0.32068368356153215,0.15866450954131428,0.11795037773992326,2.4562675934935982
s04,multi,logreg,0.38535887631235144,0.21321453383532105,0.041721771299720364,0.17960826918001188,0.009607066296752741,0.022433961860919015,0.24822874785911733,0.3017012486738307,0.1721443424770304,0.1378864978802915,4.304905175040248
s05,binary,lda,0.9631567270594992,0.8836534003274884,0.013903818178948766,0.032440541909158196,0.011441987588280115,0.07245906904576095,0.9614678897482399,0.9850553819817157,0.07950332673201077,0.018536723730209433,2.3332110281962093
s05,binary,logreg,0.9735322913237903,0.9299512241380246,0.007121487270005976,0.01792251240069701,0.008530403893960549,0.04315774687450211,0.9730998654942539,0.9902012318173922,0.04358106718576571,0.010801025130691033,2.516681097806971
s05,multi,lda,0.5292690470578403,0.26181209548635626,0.06834378555223489,0.24975048042854808,0.008467171419288783,0.027674683100427803,0.7246204066233828,0.7592944766369951,0.267456951571484,0.1814066948763132,3.654326116273802
s05,multi,logreg,0.5357096001683024,0.2544903266272256,0.030130821962105946,0.22696032851643957,0.0038358711962621166,0.01941054846109691,0.5502084511399283,0.7118389536638863,0.2812192735410768,0.19682950655433362,7.5324970822859205
s06,binary,lda,0.789334954129423,0.6333720930901252,0.04097302518946664,0.04863150173002688,0.08799141048172988,0.13886872247070464,0.9040613005856976,0.7774365627335303,0.1559628610392978,0.00765847654056024,1.186915086331704
s06,binary,logreg,0.8225753419586379,0.7682644876402395,0.03602017624525783,0.038405630485871506,0.06833710396700277,0.03732353706168602,0.8977364077040526,0.6727038519164154,0.05431085431839844,0.002385454240613677,1.0662255016291802
s06,multi,lda,0.4330789157801009,0.2129007320668481,0.06272265066190745,0.2305399691765431,0.021065306535992232,0.012371271655312224,0.47197074876777484,0.2075279427647802,0.2201781837132528,0.16781731851463566,3.6755457038832384
s06,multi,logreg,0.47276332511312047,0.2038377775171455,0.03999869465281216,0.3013877407593569,0.020662139969652275,0.006820586469415196,0.44433396108087014,0.2717844227800531,0.268925547595975,0.2613890461065448,7.534939411783216
s07,binary,lda,0.8024430109245332,0.7669694026424355,0.02389837569734372,0.08711688723859301,0.06829238229500949,0.08198807149872217,0.8869729256516458,0.8682797653145843,0.03547360828209767,0.06321851154124929,3.6453057873835317
s07,binary,logreg,0.84381338338461,0.7591369312878337,0.01937017619796452,0.12303356015430543,0.04845246210291133,0.0850619619955784,0.8886367722987524,0.8658149721420834,0.08467645209677632,0.10366338395634091,6.351700619390039
