tau,within-session_unsafe,within-session_avail,cross-session_unsafe,cross-session_avail
0.5,0.022688454969302496,0.9543477258404168,0.022545301306363254,0.9109788404907277
0.55,0.020080321285140562,0.9484759518576018,0.02027916096906525,0.8993189389546452
0.6,0.017783778793334256,0.9416357963017047,0.018099022162594493,0.8859137474275449
0.65,0.015487236301527952,0.9329818466882888,0.015966184198078725,0.8711157348978409
0.7,0.013456123343950514,0.9224372473369506,0.013880647075517944,0.8532307762276722
0.75,0.011817384480450537,0.9106014725548365,0.011829510565288063,0.8320712669554639
0.8,0.010028620228038592,0.8944156662618934,0.009877275815509515,0.806363770735978
0.85,0.008101371001246365,0.8723427148500545,0.007912140836106883,0.7717081101977238
0.9,0.006335687577897798,0.8369276173201962,0.005865304402418363,0.7219872428966129
0.95,0.0041776300604717724,0.771338979663987,0.003607764218203084,0.6343532194062603
