accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.9459201643674787,0.9458441934549667,0.9460025494653237,0.012147869388074911,,,,9,,s01,,d05_t02,,d01_t01,,13628,13580,cross-session,cross-session/s01/d05_t02,0.012914587613736424
0.9566208367031835,0.9669487307117969,0.9471976499453247,0.02103090602656088,,,,1,,s02,,d01_t02,,d01_t01,,13601,13611,cross-session,cross-session/s02/d01_t02,0.0189691934416587
0.9468655838906446,0.9408913807849473,0.9540708525195813,0.03080995633330262,,,,2,,s02,,d02_t01,,d01_t01,,13607,13611,cross-session,cross-session/s02/d02_t01,0.007422650106562799
0.5803981623277182,0.5680332739156269,0.6119151876824511,0.21805477426771008,,,,3,,s02,,d02_t02,,d01_t01,,1959,13611,cross-session,cross-session/s02/d02_t02,0.04849412965798877
0.9435053055250641,0.9304339550818425,0.9587234710474147,0.022816145906660597,,,,4,,s02,,d03_t01,,d01_t01,,13665,13611,cross-session,cross-session/s02/d03_t01,0.003000365898280278
0.9560731132075472,0.9476660596185181,0.9658585481505668,0.012923185879852937,,,,5,,s02,,d03_t02,,d01_t01,,13568,13611,cross-session,cross-session/s02/d03_t02,0.0036851415094339623
0.9425236731997357,0.9602043824309718,0.9252559927244819,0.02917127290263776,,,,6,,s02,,d04_t01,,d01_t01,,13623,13611,cross-session,cross-session/s02/d04_t01,0.027747192248403437
0.9759133765468474,0.972733469665985,0.9792605963388891,0.004963473066667242,,,,7,,s02,,d04_t02,,d01_t01,,13576,13611,cross-session,cross-session/s02/d04_t02,0.0034619917501473186
0.9485407630669705,0.9555448871819491,0.9406018036913509,0.017757824827510673,,,,8,,s02,,d05_t01,,d01_t01,,13603,13611,cross-session,cross-session/s02/d05_t01,0.01742262736161141
0.9644457503856607,0.9702457956015524,0.9591689135134587,0.007452890478001667,,,,9,,s02,,d05_t02,,d01_t01,,13613,13611,cross-session,cross-session/s02/d05_t02,0.01358995078234041
0.9500956997908645,0.9522200677673972,0.947891392112881,0.018057559134945462,s01,,,,,,,,,,,135319,124426,cross-subject,cross-subject/s01,0.013848757380707809
0.9440551010239018,0.9463370997113981,0.9416861583733076,0.01608882312574105,s02,,,,,,,,,,,124426,135319,cross-subject,cross-subject/s02,0.015446932313182133
0.9616036137775268,0.9719199659429545,0.9509842029829362,0.007474395176080434,,0,,,,,,,,,leaky by construction — control condition only,77924,181821,random-shuffle,random-shuffle/control,0.01723474154304194
