session,anom_flag_ch0,anom_flag_ch1,rest_recall,move_recall,mean_conf
d01_t01,0.018666666666666668,0.019666666666666666,0.9654761904761905,0.9518518518518518,0.9432067467199501
d01_t02,0.022333333333333334,0.06333333333333334,0.9495586380832283,0.9166289080199366,0.9512046030351997
d02_t01,0.008333333333333333,0.056666666666666664,0.9736842105263158,0.8721934369602763,0.9243361613850459
d02_t02,0.005104645227156712,0.06431852986217458,0.6956521739130435,0.5816993464052288,0.7873952115127663
d03_t01,0.006,0.032,0.9899425287356322,0.8988715277777778,0.9270517190018142
d03_t02,0.006,0.06466666666666666,0.9928366762177651,0.8722849695916595,0.9272091688925793
d04_t01,0.02266666666666667,0.048666666666666664,0.9484126984126984,0.910427807486631,0.9484274913027955
d04_t02,0.010333333333333333,0.06833333333333333,0.9972640218878249,0.9065667695019832,0.9419689996540743
d05_t01,0.01633333333333333,0.11833333333333333,0.9758179231863442,0.8733130169786678,0.9293833803789009
d05_t02,0.011333333333333334,0.07966666666666666,0.9935979513444302,0.8909418657052727,0.9412568655036969
