accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.48158223660024996,0.701543056246889,0.39490651963264956,0.1932216833247552,,,,1,,s02,,d01_t02,,d01_t01,,13601,13611,cross-session,cross-session/s02/d01_t02,0.00816116462024851
0.40141103843609904,0.5617219424118597,0.3233882167462962,0.22590009808692488,,,,2,,s02,,d02_t01,,d01_t01,,13607,13611,cross-session,cross-session/s02/d02_t01,0.0022047475564047916
0.45176110260336905,0.43196672608437314,0.602172621354207,0.22810744019983453,,,,3,,s02,,d02_t02,,d01_t01,,1959,13611,cross-session,cross-session/s02/d02_t02,0.013272077590607452
0.43476033662641783,0.6776741530262657,0.3531413897059562,0.22176804544801948,,,,4,,s02,,d03_t01,,d01_t01,,13665,13611,cross-session,cross-session/s02/d03_t01,0.0010245151847786316
0.3909935141509434,0.5475893798523914,0.3046664428120323,0.24751328360852776,,,,5,,s02,,d03_t02,,d01_t01,,13568,13611,cross-session,cross-session/s02/d03_t02,0.0008107311320754717
0.4194377156279821,0.6773115849464478,0.3289940360714489,0.2429566823417274,,,,6,,s02,,d04_t01,,d01_t01,,13623,13611,cross-session,cross-session/s02/d04_t01,0.008294795566321662
0.4381997642899234,0.7099035933391762,0.3505992370332971,0.24113372546968115,,,,7,,s02,,d04_t02,,d01_t01,,13576,13611,cross-session,cross-session/s02/d04_t02,0.00022097819681791397
0.37741674630596195,0.6554968795007201,0.2914238088190061,0.28367302479247913,,,,8,,s02,,d05_t01,,d01_t01,,13603,13611,cross-session,cross-session/s02/d05_t01,0.0021318826729397927
0.39638580768383164,0.6532988357050453,0.2819403624727562,0.2744180667810129,,,,9,,s02,,d05_t02,,d01_t01,,13613,13611,cross-session,cross-session/s02/d05_t02,0.0006611327407625064
0.38133595430057865,0.3131402158372016,0.2938985026708746,0.12088743683855326,s01,,,,,,,,,,,135319,124426,cross-subject,cross-subject/s01,0.008217619107442413
0.34886599263819457,0.4458312478035378,0.2518932463020366,0.2862832936768397,s02,,,,,,,,,,,124426,135319,cross-subject,cross-subject/s02,0.0026682526160127303
0.4251706791232483,0.14125159642401022,0.3434485988123344,0.024229602940418614,,0,,,,,,,,,leaky by construction — control condition only,77924,181821,random-shuffle,random-shuffle/control,0.003182588162825317
