task,model,n_subjects,within_bal_mean,within_bal_sd,cross_bal_mean,cross_bal_sd,d_bal_mean,d_bal_sd,within_ece_mean,within_ece_sd,cross_ece_mean,cross_ece_sd,d_ece_mean,d_ece_sd,ece_ratio_mean,ece_ratio_sd,within_unsafe_mean,within_unsafe_sd,cross_unsafe_mean,cross_unsafe_sd,within_avail_mean,within_avail_sd,cross_avail_mean,cross_avail_sd
binary,lda,10,0.8523946516422566,0.06734299353728489,0.7799465038024451,0.10152944228593676,0.07244814783981143,0.05208934342072896,0.027626050417888397,0.013332292153470832,0.05109894328522423,0.02419199238287624,0.02347289286733583,0.019491603632932206,2.007875000651105,0.8832412109590673,0.059491497658678984,0.033082733043100415,0.09540161537361498,0.06136620227122191,0.9221679496599695,0.0332408690968151,0.8917458745209361,0.0624290307935304
binary,logreg,10,0.878569931708947,0.06368546208295472,0.8137197724598307,0.10147338407675116,0.06485015924911625,0.04796053676004155,0.027962551773662424,0.016944636702971767,0.05991364648328279,0.03518154455102446,0.03195109470962037,0.028831548877021794,2.482499453928679,1.4966091915512194,0.046173437801657016,0.02825163273980621,0.0756097070393835,0.06400375171304813,0.9245437207939651,0.041141698106762506,0.8883869775073725,0.08625741355709783
multi,lda,10,0.41354511628969737,0.059199392153791434,0.24989549833039665,0.059224594020913374,0.16364961795930072,0.04833981452236176,0.06963515661042809,0.010963538073507922,0.23176888674256238,0.08429830350274468,0.16213373013213425,0.08249668803389303,3.350255738547677,1.300596077266552,0.016340779509605625,0.0055153315138483025,0.034963867799192645,0.02514360533738206,0.42060162782128074,0.15171246589492604,0.4522134715475257,0.20776116173334155
multi,logreg,10,0.4242869527354481,0.060242743865430846,0.254166664142479,0.06544245283262091,0.1701202885929691,0.058960223330731525,0.04019696030757659,0.008240499653660287,0.20052463567188455,0.07963914600754493,0.16032767536430798,0.08030927351511429,5.172632070652666,2.2675936521934914,0.011443979782653076,0.006355932120001023,0.028598313229009374,0.024187542849929813,0.3289388290060277,0.11843942069507093,0.4221181963812338,0.1879328283135484
