accuracy,assist_availability,balanced_accuracy,ece,meta_held_out_subject,meta_seed,meta_session,meta_sessions_elapsed,meta_split_by,meta_subject,meta_test_repetitions,meta_test_session,meta_train_repetitions,meta_train_sessions,meta_warning,n_test,n_train,protocol,split,unsafe_assist_rate
0.5159656463334067,0.3507853403141361,0.4423365210811948,0.016404884548455956,,,d01_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4541,9039,within-session,within/s01/d01_t01,0.0
0.500109721307878,0.3226366001734605,0.42474685684192637,0.021910571841609997,,,d01_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4557,9109,within-session,within/s01/d01_t02,0.00043888523151195964
0.503956043956044,0.2403706921517521,0.428495047686066,0.010483737407153713,,,d02_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9061,within-session,within/s01/d02_t01,0.0013186813186813187
0.4946949602122016,0.28115107913669063,0.4255541157011127,0.039259041935596824,,,d02_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9007,within-session,within/s01/d02_t02,0.0
0.5635921256359212,0.3614895549500454,0.4782928498260929,0.03233011653840275,,,d03_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4521,9050,within-session,within/s01/d03_t01,0.0015483300154833
0.5469306049822064,0.40442290215086335,0.4761944823265861,0.029777501054638333,,,d03_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4496,9094,within-session,within/s01/d03_t02,0.00556049822064057
0.5398731309469869,0.30924170616113744,0.4888708011516719,0.04213644096679983,,,d04_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4414,8768,within-session,within/s01/d04_t01,0.012233801540552787
0.5155615696887687,0.4117647058823529,0.44111084197607764,0.02761660242895323,,,d04_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4434,8943,within-session,within/s01/d04_t02,0.0020297699594046007
0.5347758887171561,0.317581449955973,0.4620454146789781,0.03116040967948097,,,d05_t01,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9054,within-session,within/s01/d05_t01,0.001103996467211305
0.5428007023705005,0.3054187192118227,0.47328842414105715,0.05557863172675257,,,d05_t02,,repetition,s01,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4556,9072,within-session,within/s01/d05_t02,0.000877963125548727
0.5955204216073782,0.46085080147965474,0.511058446152677,0.01964981897030516,,,d01_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4554,9057,within-session,within/s02/d01_t01,0.0024154589371980675
0.5548658833961427,0.3672471738466239,0.47965264262067403,0.02904198514416898,,,d01_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4511,9090,within-session,within/s02/d01_t02,0.0035468853912657946
0.5474516695957821,0.44308131241084164,0.49586584253884963,0.04246719410255164,,,d02_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4552,9055,within-session,within/s02/d02_t01,0.006151142355008787
0.8618618618618619,0.9609236234458259,0.6406559864801945,0.02730902063004868,,,d02_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,666,1293,within-session,within/s02/d02_t02,0.10510510510510511
0.547244094488189,0.4329720479178551,0.48596905705054505,0.022326115009981867,,,d03_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4572,9093,within-session,within/s02/d03_t01,0.0004374453193350831
0.526164716272908,0.41056317478844473,0.45579571328800206,0.021298941577850374,,,d03_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4529,9039,within-session,within/s02/d03_t02,0.0026495915213071318
0.5613186813186813,0.40412186379928317,0.4745998965788493,0.03500979420812381,,,d04_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4550,9073,within-session,within/s02/d04_t01,0.0013186813186813187
0.5641025641025641,0.4761056693380825,0.48829585383152807,0.026358632524648283,,,d04_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4524,9052,within-session,within/s02/d04_t02,0.0004420866489832007
0.5663074554651418,0.6318089134867463,0.4996041397913291,0.03385112549177073,,,d05_t01,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4547,9056,within-session,within/s02/d05_t01,0.0028590279305036287
0.5392265193370166,0.4924489191590169,0.47297079776479045,0.039428310035301166,,,d05_t02,,repetition,s02,"9,10,11,12",,"1,2,3,4,5,6,7,8",,,4525,9088,within-session,within/s02/d05_t02,0.013480662983425415
0.3859944387531099,0.3998082454458293,0.31364776546879347,0.11358255212775839,,,,1,,s01,,d01_t02,,d01_t01,,13666,13580,cross-session,cross-session/s01/d01_t02,0.005634421191277624
0.46572625082653735,0.2543995358731387,0.3894799543665938,0.027645583552782575,,,,2,,s01,,d02_t01,,d01_t01,,13611,13580,cross-session,cross-session/s01/d02_t01,0.0008081698626111233
0.4746877540462641,0.23073929961089495,0.4024881139800137,0.022711576513139133,,,,3,,s01,,d02_t02,,d01_t01,,13531,13580,cross-session,cross-session/s01/d02_t02,0.000886852412977607
